Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT1G55970,HAG4,TF,AT1G55970.1,histone acetyltransferase of the CBP family 4,HAC4 is most likely to  be an expressed pseudogene that lacks HAT function. there is a  single nucleotide deletion in both the HAC4 genomic and  cDNA sequences relative to its homologs. The resulting  frameshift within the open reading frame causes a  stop codon to occur within the predicted acetyltransferase  catalytic domain.,"histone acetyltransferase of the CBP family 4 (HAC4); FUNCTIONS IN: histone acetyltransferase activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, TAZ-type (InterPro:IPR000197), Histone H3-K56 acetyltransferase, RTT109 (InterPro:IPR013178), Zinc finger, FYVE/PHD-type (InterPro:IPR011011), Zinc finger, ZZ-type (InterPro:IPR000433), Zinc finger, PHD-finger (InterPro:IPR019787); BEST Arabidopsis thaliana protein match is: histone acetyltransferase of the CBP family 5 (TAIR:AT3G12980.1); Has 778 Blast hits to 575 proteins in 103 species: Archae - 0; Bacteria - 0; Metazoa - 394; Fungi - 19; Plants - 254; Viruses - 0; Other Eukaryotes - 111 (source: NCBI BLink).",HAG4,HISTONE ACETYLTRANSFERASE OF THE GNAT/MYST SUPERFAMILY 4
AT1G56010,NAC1,TF,AT1G56010.2,NAC domain containing protein 1,"Encodes a transcription factor involved in shoot apical meristem formation and auxin-mediated lateral root formation. The gene is thought not to be involved in stress responses (NaCl, auxins, ethylene). NAC1 (NAC1)",NAC domain containing protein 1 (NAC1); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (TAIR:AT3G12977.1); Has 2928 Blast hits to 2921 proteins in 75 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2928; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NAC1,NAC domain containing protein 1
AT1G56650,SIAA1,TF,AT1G56650.1,production of anthocyanin pigment 1,Encodes a putative MYB domain containing transcription factor involved in anthocyanin metabolism and radical scavenging. Essential for the sucrose-mediated expression of the dihydroflavonol reductase gene.,"production of anthocyanin pigment 1 (PAP1); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 90 (TAIR:AT1G66390.1); Has 8761 Blast hits to 8206 proteins in 539 species: Archae - 0; Bacteria - 0; Metazoa - 765; Fungi - 472; Plants - 5883; Viruses - 3; Other Eukaryotes - 1638 (source: NCBI BLink).",SIAA1,SUC-INDUCED ANTHOCYANIN ACCUMULATION 1
AT1G57560,MYB50,TF,AT1G57560.1,myb domain protein 50,Member of the R2R3 factor gene family.,"myb domain protein 50 (MYB50); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 61 (TAIR:AT1G09540.1); Has 8919 Blast hits to 8236 proteins in 472 species: Archae - 0; Bacteria - 0; Metazoa - 751; Fungi - 484; Plants - 5879; Viruses - 6; Other Eukaryotes - 1799 (source: NCBI BLink).",MYB50,myb domain protein 50
AT1G58100,TCP8,TF,AT1G58100.2,TCP family transcription factor ,---,"TCP family transcription factor ; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor, TCP (InterPro:IPR005333), Transcription factor TCP subgroup (InterPro:IPR017887); BEST Arabidopsis thaliana protein match is: TCP family transcription factor  (TAIR:AT1G35560.1); Has 396 Blast hits to 390 proteins in 36 species: Archae - 0; Bacteria - 3; Metazoa - 45; Fungi - 2; Plants - 334; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).",TCP8,TCP domain protein 8
AT1G58110,AT1G58110,TF,AT1G58110.2,Basic-leucine zipper (bZIP) transcription factor family protein,---,"Basic-leucine zipper (bZIP) transcription factor family protein; FUNCTIONS IN: sequence-specific DNA binding, protein dimerization activity, DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827), bZIP transcription factor, bZIP-1 (InterPro:IPR011616); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G06598.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",---,---
AT1G58220,AT1G58220,TF,AT1G58220.1,Homeodomain-like superfamily protein,---,"Homeodomain-like superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to jasmonic acid stimulus, response to abscisic acid stimulus, response to salicylic acid stimulus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: Homeodomain-like superfamily protein (TAIR:AT1G09710.1); Has 27282 Blast hits to 17301 proteins in 1269 species: Archae - 28; Bacteria - 5926; Metazoa - 10247; Fungi - 4749; Plants - 1505; Viruses - 560; Other Eukaryotes - 4267 (source: NCBI BLink).",---,---
AT1G59640,ZCW32,TF,AT1G59640.2,BIG PETAL P,"A basic helix-loop-helix encoding gene (BIGPETAL, BPE) involved in the control of petal size. BPE is expressed via two mRNAs derived from an alternative splicing event. The BPEub (AT1G59640.1)transcript is expressed ubiquitously, whereas the BPEp (AT1G59640.2) transcript is preferentially expressed in petals. Plants that lack the petal-expressed variant BPEp have larger petals as a result of increased cell size.  BPEp is positively regulated downstream of APETALA3, PISTILLATA, APETALA1 and PISTILLATA3 and is negatively regulated downstream of AGAMOUS.","BIG PETAL P (BPEp); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: petal morphogenesis, regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G62610.1); Has 2416 Blast hits to 2408 proteins in 177 species: Archae - 0; Bacteria - 0; Metazoa - 166; Fungi - 35; Plants - 2213; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",ZCW32,---
AT1G59750,ARF1,TF,AT1G59750.4,auxin response factor 1,"Encodes a member of the auxin response factor family. ARFs bind to the cis element 5'-TGTCTC-3' ARFs mediate changes in gene expression in response to auxin. ARF's form heterodimers with IAA/AUX genes. ARF1 enhances mutant phenotypes of ARF2 and may act with ARF2 to control aspects of maturation and senescence.ARF1:LUC and 3xHA:ARF1 proteins have a half-life of ~3-4 hours and their degradation is reduced by proteasome inhibitors. 3xHA:ARF1 degradation is not affected by a pre-treatment with IAA. A nuclear-targeted fusion protein containing the middle region of ARF1 linked to LUC:NLS has a similar half-life to the full-length ARF1:LUC construct. The degradation of 3xHA:ARF1 is not affected in an axr6-3 mutant grown at room temperature, although the degradation of AXR2/IAA7 is slowed under these conditions.","auxin response factor 1 (ARF1); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), Transcriptional factor B3 (InterPro:IPR003340), AUX/IAA protein (InterPro:IPR003311), Auxin response factor (InterPro:IPR010525); BEST Arabidopsis thaliana protein match is: auxin response factor 11 (TAIR:AT2G46530.3).",ARF1,auxin response factor 1
AT1G61660,AT1G61660,TF,AT1G61660.4,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT3G20640.1).",---,---
AT1G61730,AT1G61730,TF,AT1G61730.1,DNA-binding storekeeper protein-related transcriptional regulator,---,"DNA-binding storekeeper protein-related transcriptional regulator; FUNCTIONS IN: transcription regulator activity; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol, nucleolus, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF573 (InterPro:IPR007592); BEST Arabidopsis thaliana protein match is: DNA-binding storekeeper protein-related transcriptional regulator (TAIR:AT4G00390.1); Has 9484 Blast hits to 2301 proteins in 293 species: Archae - 12; Bacteria - 1789; Metazoa - 891; Fungi - 666; Plants - 367; Viruses - 44; Other Eukaryotes - 5715 (source: NCBI BLink).",---,---
AT1G62300,WRKY6,TF,AT1G62300.1,WRKY family transcription factor,Encodes a transcription factor WRKY6.  Regulates Phosphate1 (Pho1) expression in response to low phosphate (Pi) stress.,WRKY6; CONTAINS InterPro DOMAIN/s: DNA-binding WRKY (InterPro:IPR003657); BEST Arabidopsis thaliana protein match is: WRKY family transcription factor (TAIR:AT4G04450.1); Has 3824 Blast hits to 3363 proteins in 295 species: Archae - 0; Bacteria - 33; Metazoa - 119; Fungi - 43; Plants - 3509; Viruses - 0; Other Eukaryotes - 120 (source: NCBI BLink).,WRKY6,---
AT1G62310,AT1G62310,TF,AT1G62310.1,transcription factor jumonji (jmjC) domain-containing protein,---,"transcription factor jumonji (jmjC) domain-containing protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor jumonji/aspartyl beta-hydroxylase (InterPro:IPR003347), Zinc finger, RING-type (InterPro:IPR001841), Transcription factor jumonji (InterPro:IPR013129); BEST Arabidopsis thaliana protein match is: Transcription factor jumonji (jmjC) domain-containing protein (TAIR:AT1G11950.1); Has 795 Blast hits to 740 proteins in 102 species: Archae - 0; Bacteria - 2; Metazoa - 384; Fungi - 24; Plants - 360; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink).",---,---
AT1G62700,VND5,TF,AT1G62700.1,Arabidopsis NAC domain containing protein 26,Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.,Arabidopsis NAC domain containing protein 26 (ANAC026); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC 007 (TAIR:AT1G12260.1); Has 3282 Blast hits to 3264 proteins in 98 species: Archae - 0; Bacteria - 0; Metazoa - 27; Fungi - 6; Plants - 3017; Viruses - 0; Other Eukaryotes - 232 (source: NCBI BLink).,VND5,VASCULAR RELATED NAC-DOMAIN PROTEIN 5
AT1G62975,AT1G62975,TF,AT1G62975.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT1G12540.1); Has 533 Blast hits to 533 proteins in 49 species: Archae - 0; Bacteria - 0; Metazoa - 85; Fungi - 0; Plants - 445; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).",---,---
AT1G62990,KNAT7,TF,AT1G62990.1,KNOTTED-like homeobox of Arabidopsis thaliana 7,Encodes a homeodomain transcription factor of the Knotted family. May be involved in secondary cell wall biosynthesis.  Mutants have moderately irregular xylem development.  Expression of this gene is upregulated by SND1 and MYB46.,"KNOTTED-like homeobox of Arabidopsis thaliana 7 (KNAT7); CONTAINS InterPro DOMAIN/s: ELK (InterPro:IPR005539), KNOX1 (InterPro:IPR005540), Homeobox (InterPro:IPR001356), Homeodomain-like (InterPro:IPR009057), KNOX2 (InterPro:IPR005541), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: KNOTTED1-like homeobox gene 3 (TAIR:AT5G25220.1); Has 5187 Blast hits to 5186 proteins in 324 species: Archae - 0; Bacteria - 0; Metazoa - 1947; Fungi - 303; Plants - 2774; Viruses - 0; Other Eukaryotes - 163 (source: NCBI BLink).",KNAT7,KNOTTED-like homeobox of Arabidopsis thaliana 7
AT1G63100,AT1G63100,TF,AT1G63100.1,GRAS family transcription factor,---,GRAS family transcription factor; CONTAINS InterPro DOMAIN/s: Transcription factor GRAS (InterPro:IPR005202); BEST Arabidopsis thaliana protein match is: GRAS family transcription factor (TAIR:AT3G54220.1); Has 2506 Blast hits to 2453 proteins in 309 species: Archae - 0; Bacteria - 4; Metazoa - 16; Fungi - 0; Plants - 2441; Viruses - 0; Other Eukaryotes - 45 (source: NCBI BLink).,---,---
AT1G63490,AT1G63490,TF,AT1G63490.1,transcription factor jumonji (jmjC) domain-containing protein,---,"transcription factor jumonji (jmjC) domain-containing protein; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; LOCATED IN: nucleus; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor jumonji/aspartyl beta-hydroxylase (InterPro:IPR003347), PLU-1-like (InterPro:IPR013637), Zinc finger, PHD-type, conserved site (InterPro:IPR019786), Zinc finger, PHD-type (InterPro:IPR001965), Zinc finger, C5HC2-type (InterPro:IPR004198), Transcription factor jumonji (InterPro:IPR013129), Zinc finger, FYVE/PHD-type (InterPro:IPR011011); BEST Arabidopsis thaliana protein match is: Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein (TAIR:AT1G08620.2); Has 2288 Blast hits to 1952 proteins in 202 species: Archae - 0; Bacteria - 15; Metazoa - 1333; Fungi - 459; Plants - 289; Viruses - 0; Other Eukaryotes - 192 (source: NCBI BLink).",---,---
AT1G63650,EGL3,TF,AT1G63650.3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,"Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY.","ENHANCER OF GLABRA 3 (EGL3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: epidermal cell fate specification, regulation of transcription; LOCATED IN: nucleus; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G41315.1).",EGL3,ENHANCER OF GLABRA 3
AT1G63820,AT1G63820,TF,AT1G63820.1,CCT motif family protein,---,CCT motif family protein; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: CCT motif family protein (TAIR:AT5G41380.1); Has 1633 Blast hits to 1633 proteins in 102 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 1587; Viruses - 0; Other Eukaryotes - 45 (source: NCBI BLink).,---,---
AT1G64380,AT1G64380,TF,AT1G64380.1,Integrase-type DNA-binding superfamily protein,encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4.,"Integrase-type DNA-binding superfamily protein; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: related to AP2 4 (TAIR:AT1G78080.1); Has 5953 Blast hits to 5757 proteins in 257 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 5926; Viruses - 6; Other Eukaryotes - 15 (source: NCBI BLink).",---,---
AT1G64530,AT1G64530,TF,AT1G64530.1,Plant regulator RWP-RK family protein,---,"Plant regulator RWP-RK family protein; CONTAINS InterPro DOMAIN/s: Octicosapeptide/Phox/Bem1p (InterPro:IPR000270), Plant regulator RWP-RK (InterPro:IPR003035); BEST Arabidopsis thaliana protein match is: NIN like protein 7 (TAIR:AT4G24020.1); Has 703 Blast hits to 646 proteins in 50 species: Archae - 0; Bacteria - 2; Metazoa - 50; Fungi - 0; Plants - 585; Viruses - 0; Other Eukaryotes - 66 (source: NCBI BLink).",---,---
